"Variable","Estimate","Std.Error","t.value","P.value","P.signif","CI_lower","CI_upper"
"dis_1",1.67241155607649,0.468713437202156,3.56808963288837,0.000407567011438869,"***",0.753733219160262,2.59108989299271
"dis_2",0.808009650740576,0.453635679710106,1.78118628423789,0.0757135071336575,".",-0.0811162814912324,1.69713558297238
"dis_3",1.74426227327999,0.705373653272211,2.4728202778604,0.0138599546569357,"*",0.361729912866458,3.12679463369352
"dis_4",1.82015961655467,0.504378697731721,3.60871627755146,0.00035063924335885,"***",0.831577369000494,2.80874186410884
"dis_5",0.36345749155246,0.515128183878464,0.705567085877429,0.480907446060792,"",-0.646193748849329,1.37310873195425
"dis_6",0.97030732607043,0.326838675601652,2.96876532217084,0.00318744253043654,"**",0.329703521891192,1.61091113024967
"dis_7",-0.998432184861468,0.529065482665058,-1.88716183076634,0.0599318426198018,".",-2.03540053088498,0.0385361611620459
"dis_8",-1.13142815085396,0.718742799092322,-1.57417667666766,0.11631296122784,"",-2.54016403707491,0.277307735366989
"dis_9",0.883801039040845,0.914874605605657,0.966035163317008,0.334666209835298,"",-0.909353187946244,2.67695526602793
"dis_11",1.46143316229907,0.590868183472055,2.47336580844716,0.0138391699344614,"*",0.303331522693838,2.61953480190429
"dis_12",1.03359222226701,0.607492804804496,1.70140652546435,0.0897182848912077,".",-0.157093675149801,2.22427811968382
"dis_13",0.736255269571405,1.92198175216683,0.383070894789378,0.701890196563539,"",-3.03082896467559,4.5033395038184
"dis_15",-0.545382998218292,0.559240172259794,-0.975221425911684,0.330096311117362,"",-1.64149373584749,0.550727739410904
"dis_16",-0.0596347930217085,0.437042151421043,-0.13645089570378,0.891540069205278,"",-0.916237409806953,0.796967823763536
"dis_17",-0.0094970106735942,0.910660945277708,-0.0104287009592775,0.99168494893742,"",-1.7943924634179,1.77539844207071
