"Variable","Estimate","Std.Error","OR","Wald_Chi2","P.value","P.signif","CI_lower","CI_upper"
"dis_1",1.01388661448051,0.292207115342161,2.75629287178318,12.0391882416352,0.000520936528044054,"***",1.55451044300006,4.88716587865502
"dis_2",0.0435677041296805,0.257443939721174,1.0445307109608,0.0286394058276398,0.865614309145034,"",0.630638539758973,1.73006300337635
"dis_3",0.487685683618111,0.47502726817378,1.62854289180887,1.05400563525305,0.304586353428902,"",0.64187110787232,4.13190735325751
"dis_4",1.44379343228545,0.354333715068188,4.23673714738973,16.6029464991504,4.60793775360676e-05,"***",2.11551726164884,8.48489491505346
"dis_5",-0.124111007211065,0.319992302594362,0.883281784792871,0.150432452962727,0.698122432897731,"",0.471754799815291,1.65379708198486
"dis_6",0.17252096656157,0.201698412592829,1.18829673485046,0.731608604856237,0.392362273489221,"",0.800268548418892,1.76446910583463
"dis_7",-0.432246796514796,0.333907025096509,0.649049173843174,1.67576244742078,0.195488476462685,"",0.337326300714664,1.24883482009558
"dis_8",-0.715221982259878,0.429092871936706,0.489083531877694,2.77829980039757,0.0955495524850107,".",0.210926824018657,1.13405538753479
"dis_9",-0.20879598881748,0.571972908895727,0.811560786231437,0.133258028543704,0.715077635031125,"",0.264513526196259,2.48997062350569
"dis_11",1.13289998172146,0.584497251116475,3.10464687705469,3.75680102338339,0.0525931080105152,".",0.987365858954896,9.76216884935433
"dis_12",1.06939656572836,0.576877614797302,2.91362079075794,3.43645132149317,0.0637725312468907,".",0.940556498441119,9.02570566085813
"dis_15",-0.349609994114895,0.326473371867947,0.704962975820982,1.14675897752827,0.284228638251009,"",0.371763342594447,1.33679881886719
"dis_16",-0.288744377994929,0.287104618576177,0.749203693877728,1.01145535073318,0.314554434326515,"",0.426787336669216,1.31518938518805
